rank,id,gemini_final,gemini_raw,band,original_final,delta_vs_original,spatial,factual,coverage,legibility,material_error_count,subject
14,MB025,74,78,usable_draft,74,0.0,4,3,5,4,1,"East and Central Asia around 750 CE, showing the Tang dynasty, the principal neighboring states and steppe powers, frontier regions, major cities, and long-distance connections"
15,MB032,74,78,usable_draft,74,0.0,4,3,5,4,1,"Europe immediately after the Peace of Westphalia in 1648, showing the principal states, the political fragmentation of the Holy Roman Empire, major territorial settlements, recognized independences, and important cities"
16,MB006,74,77,usable_draft,97.5,-23.5,4,4,3,4,1,"The major overland and maritime Silk Road routes connecting East Asia, Central Asia, India, the Middle East, East Africa, and Europe"
17,MB011,74,77,usable_draft,59,15.0,4,4,3,4,1,"Europe and the Near East during the Crusades, 1095–1291, showing the principal Crusader states, neighboring powers, major cities, and expedition routes"
18,MB021,74,77,usable_draft,74,0.0,4,4,3,4,1,"The Hellenistic world after the Battle of Ipsus around 300 BCE, showing the principal successor kingdoms, contested territories, major cities, and frontiers"
19,MB024,74,77,usable_draft,39,35.0,4,4,3,4,1,"The Islamic world during the Abbasid Revolution around 750 CE, showing the collapsing Umayyad order, emerging Abbasid control, principal regions, campaign movement, major cities, and surviving rivals"
20,MB016,74,75,usable_draft,74,0.0,4,3,4,4,1,"Major precolonial African kingdoms and civilizations roughly between 1000 and 1500 CE, showing their approximate extents, major cities, trade centers, and regional geography"
21,MB022,74,74,usable_draft,59,15.0,4,3,5,3,1,"The Roman world during the Crisis of the Third Century around 271 CE, showing the central Roman Empire, major breakaway states, contested regions, frontiers, and principal cities"
22,MB027,73,73,usable_draft,74,-1.0,4,2,5,4,1,"Eurasia around 1330 after the fragmentation of the Mongol Empire, showing the principal successor khanates, their frontiers and overlaps, major cities, neighboring powers, and continental routes"
23,MB029,59,70,misleading,59,0.0,4,2,4,4,4,"The Americas around 1491, showing the principal states and large cultural regions, major urban centers, exchange networks, and the geographic relationships among North America, Mesoamerica, the Caribbean, and South America"
24,MB030,59,67,misleading,59,0.0,2,4,5,4,2,"West Africa around 1590 on the eve of the Moroccan invasion of Songhai, showing the principal states, trade cities and routes, the Niger system, Saharan connections, and the invasion corridor"
25,MB038,59,65,misleading,98.0,-39.0,4,2,5,2,2,"The partition of British India in 1947, showing the new international boundaries, the princely-state problem, principal migration flows, major affected regions and cities, and the geographic separation of Pakistan's two wings"
26,MB005,59,64,misleading,100,-41.0,3,3,3,4,2,"The Roman Empire at its greatest territorial extent around 117 CE, showing provinces, major cities, neighboring peoples, and frontiers"
27,MB040,59,63,misleading,59,0.0,4,2,3,3,4,"The global Cold War around 1962, showing the major alliance systems, aligned and non-aligned states, divided countries, principal military flashpoints, and strategically important overseas positions"
28,MB009,59,62,misleading,59,0.0,3,2,4,4,2,"The geographic extent of the Maya civilization during the Classic period, showing major regions, cities, lowlands, highlands, and surrounding seas"
29,MB015,59,61,misleading,74,-15.0,3,2,5,3,4,"The principal European voyages of exploration during the fifteenth and sixteenth centuries, including Columbus, da Gama, Cabot, and Magellan, with accurate routes and dates"
30,MB026,59,61,misleading,74,-15.0,3,3,2,4,2,"Maritime Southeast Asia around 900 CE, showing the principal states and cultural centers, major ports, strategic straits, regional seas, and important maritime connections"
31,MB020,54,54,misleading,59,-5.0,2,2,4,4,3,"A political and military map of Europe at the outbreak of World War I in 1914, showing national borders, alliance blocs, major cities, and the principal fronts"
32,MB019,53,53,misleading,74,-21.0,2,3,2,4,3,"Central Europe's railway network in 1866, showing major rail lines, junctions, cities, national boundaries, and surrounding seas"
33,MB012,51,51,misleading,74,-23.0,1,3,4,4,2,"The Mongol Empire at its greatest extent around 1279, showing the major khanates, important cities, neighboring states, and the principal continental extent"
34,MB031,50,50,misleading,39,11.0,2,2,4,3,4,"The Ottoman, Safavid, and Mughal imperial worlds around 1600, showing their actual frontiers, major contested borderlands, neighboring powers, principal cities, and overland connections"
35,MB034,47,47,misleading,96.0,-49.0,2,2,3,3,4,"The Atlantic Revolutions from roughly 1775 to 1825, showing the principal revolutionary and independence movements, their chronology, major centers, imperial settings, and transatlantic connections"
36,MB018,39,72,substantive_failure,59,-20.0,4,1,5,5,1,"Europe in 1811 at the height of Napoleon's power, showing the French Empire, directly controlled territories, satellite states, allies, and opposing powers"
37,MB039,39,61,substantive_failure,97.5,-58.5,4,1,4,3,3,"The decolonization of Africa from 1957 to 1975, showing the chronology of independence, remaining colonial rule, major liberation-war regions, and the changing continental pattern"
38,MB004,39,53,substantive_failure,39,0.0,2,1,4,5,2,"The Persian Empire around 1730, showing its territorial extent, major internal regions, neighboring powers, cities, rivers, and seas"
39,MB036,39,42,substantive_failure,39,0.0,2,1,3,3,3,"Africa around 1885 at the beginning of the major European partition, distinguishing effective European control from claims or spheres, showing major independent African states, colonial footholds, and contested regions"
40,MB033,35,35,substantive_failure,59,-24.0,2,1,2,2,3,"The global Seven Years' War from 1756 to 1763, showing the alliance system, principal theaters in Europe and overseas, major campaigns and naval connections, and the territories most directly contested"
