rank,id,cohort,final_score,raw_score,band,cap,score_source,spatial,factual,coverage,legibility,material_error_count,subject
16,MB026,hard-extension,74,87,usable_draft,74,sol-high-adjudication,5,3,4,5,1,"Maritime Southeast Asia around 900 CE, showing the principal states and cultural centers, major ports, strategic straits, regional seas, and important maritime connections"
17,MB032,hard-extension,74,87,usable_draft,74,sol-high-adjudication,5,3,4,5,1,"Europe immediately after the Peace of Westphalia in 1648, showing the principal states, the political fragmentation of the Holy Roman Empire, major territorial settlements, recognized independences, and important cities"
18,MB016,baseline,74,86,usable_draft,74,sol-high-adjudication,4,5,3,5,1,"Major precolonial African kingdoms and civilizations roughly between 1000 and 1500 CE, showing their approximate extents, major cities, trade centers, and regional geography"
19,MB019,baseline,74,83.0,usable_draft,74,two-judge-mean,4.0,5.0,2.0,5.0,1,"Central Europe's railway network in 1866, showing major rail lines, junctions, cities, national boundaries, and surrounding seas"
20,MB015,baseline,74,82,usable_draft,74,sol-high-adjudication,4,5,3,4,1,"The principal European voyages of exploration during the fifteenth and sixteenth centuries, including Columbus, da Gama, Cabot, and Magellan, with accurate routes and dates"
21,MB027,hard-extension,74,82,usable_draft,74,sol-high-adjudication,4,3,5,5,1,"Eurasia around 1330 after the fragmentation of the Mongol Empire, showing the principal successor khanates, their frontiers and overlaps, major cities, neighboring powers, and continental routes"
22,MB013,baseline,74,78,usable_draft,74,sol-high-adjudication,4,3,5,4,1,"The spread of the Black Death across Europe and the Mediterranean from 1346 through 1353, showing chronological progression and principal land and maritime transmission routes"
23,MB014,baseline,59,85,misleading,59,sol-high-adjudication,5,2,5,5,2,"Central and southeastern Europe in 1683, showing the Ottoman Empire, its vassal states, the Habsburg lands, neighboring states, and major cities"
24,MB017,baseline,59,85,misleading,59,sol-high-adjudication,5,2,5,5,2,"The Thirteen British Colonies around 1775, showing colonial boundaries, principal cities, neighboring British territories, Indigenous territory, Louisiana, and Spanish possessions"
25,MB030,hard-extension,59,85,misleading,59,sol-high-adjudication,5,2,5,5,3,"West Africa around 1590 on the eve of the Moroccan invasion of Songhai, showing the principal states, trade cities and routes, the Niger system, Saharan connections, and the invasion corridor"
26,MB020,baseline,59,84,misleading,59,sol-high-adjudication,5,3,3,5,2,"A political and military map of Europe at the outbreak of World War I in 1914, showing national borders, alliance blocs, major cities, and the principal fronts"
27,MB009,baseline,59,81.0,misleading,59,two-judge-mean,4.5,2.0,5.0,5.0,2,"The geographic extent of the Maya civilization during the Classic period, showing major regions, cities, lowlands, highlands, and surrounding seas"
28,MB018,baseline,59,79,misleading,59,sol-high-adjudication,5,2,3,5,4,"Europe in 1811 at the height of Napoleon's power, showing the French Empire, directly controlled territories, satellite states, allies, and opposing powers"
29,MB040,hard-extension,59,79,misleading,59,sol-high-adjudication,5,2,3,5,4,"The global Cold War around 1962, showing the major alliance systems, aligned and non-aligned states, divided countries, principal military flashpoints, and strategically important overseas positions"
30,MB011,baseline,59,77,misleading,59,sol-high-adjudication,4,2,5,5,2,"Europe and the Near East during the Crusades, 1095–1291, showing the principal Crusader states, neighboring powers, major cities, and expedition routes"
31,MB007,baseline,59,74,misleading,59,sol-high-adjudication,3,3,5,5,2,"The Mauryan Empire under Ashoka around 250 BCE, showing its territorial extent, major cities, neighboring regions, and important geographic features"
32,MB022,hard-extension,59,74,misleading,59,sol-high-adjudication,3,3,5,5,2,"The Roman world during the Crisis of the Third Century around 271 CE, showing the central Roman Empire, major breakaway states, contested regions, frontiers, and principal cities"
33,MB033,hard-extension,59,74,misleading,59,sol-high-adjudication,3,3,5,5,2,"The global Seven Years' War from 1756 to 1763, showing the alliance system, principal theaters in Europe and overseas, major campaigns and naval connections, and the territories most directly contested"
34,MB037,hard-extension,59,74,misleading,59,sol-high-adjudication,3,3,5,5,2,"The Russian Civil War around 1919, showing Bolshevik-controlled territory, the principal White fronts and other armed movements, foreign intervention zones, major cities, rail corridors, and campaign directions"
35,MB008,baseline,59,69,misleading,59,sol-high-adjudication,3,2,5,5,2,"The Han dynasty around 60 BCE, showing its territory, commanderies or major regions, neighboring powers, the Great Wall, and major cities"
36,MB029,hard-extension,59,62,misleading,59,sol-high-adjudication,3,2,4,4,3,"The Americas around 1491, showing the principal states and large cultural regions, major urban centers, exchange networks, and the geographic relationships among North America, Mesoamerica, the Caribbean, and South America"
37,MB036,hard-extension,39,59,substantive_failure,39,sol-high-adjudication,4,1,2,4,4,"Africa around 1885 at the beginning of the major European partition, distinguishing effective European control from claims or spheres, showing major independent African states, colonial footholds, and contested regions"
38,MB004,baseline,39,50,substantive_failure,39,sol-high-adjudication,2,1,3,5,4,"The Persian Empire around 1730, showing its territorial extent, major internal regions, neighboring powers, cities, rivers, and seas"
39,MB024,hard-extension,39,45,substantive_failure,39,sol-high-adjudication,1,1,4,5,4,"The Islamic world during the Abbasid Revolution around 750 CE, showing the collapsing Umayyad order, emerging Abbasid control, principal regions, campaign movement, major cities, and surviving rivals"
40,MB031,hard-extension,39,45,substantive_failure,39,sol-high-adjudication,1,1,4,5,4,"The Ottoman, Safavid, and Mughal imperial worlds around 1600, showing their actual frontiers, major contested borderlands, neighboring powers, principal cities, and overland connections"
